Nub_ID,Nubbin.ID,Colony,Nutrient.Level,Tank.Level,Species,Assignment,d.wt,Chip_X.mm,Chip_Y.mm,Chip_Z.mm,Dome.Cone,r,chunk_SA,nub_SA,Total_SA,bw.growth,std.growth
G177_Por4_CH_N0.T2,G177_Por4_CH,4,N0,T2,POR,CH,0.46756,6.84,8.45,9.74,Dome,NA,NA,NA,NA,NA,NA
G178_Por4_CH_N3.T1,G178_Por4_CH,4,N3,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G179_Por4_CH_N1.T2,G179_Por4_CH,4,N1,T2,POR,CH,0.50434,9.36,8.93,6.16,Dome,NA,NA,NA,NA,NA,NA
G180_Por4_CH_N3.T2,G180_Por4_CH,4,N3,T2,POR,CH,0.54702,6.03,7.48,6.19,Dome,NA,NA,NA,NA,NA,NA
G181_Por5_CH_N2.T3,G181_Por5_CH,5,N2,T3,POR,CH,0.14448,8.45,11.15,3.84,Dome,NA,NA,NA,NA,NA,NA
G182_Por5_TP_N0.T1,G182_Por5_TP,5,N0,T1,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G183_Por5_TP_N3.T2,G183_Por5_TP,5,N3,T2,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G184_Por5_CH_T0,G184_Por5_CH,5,,T0,POR,T0,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G185_Por5_CH_N2.T2,G185_Por5_CH,5,N2,T2,POR,CH,0.40943,8.41,12.58,6.79,Dome,NA,NA,NA,NA,NA,NA
G186_Por5_CH_N4.T2,G186_Por5_CH,5,N4,T2,POR,CH,0.27158,6.8,7,3.25,Dome,NA,NA,NA,NA,NA,NA
G187_Por5_CH_N1.T2,G187_Por5_CH,5,N1,T2,POR,CH,0.24952,7.3,10.34,5.75,Dome,NA,NA,NA,NA,NA,NA
G188_Por5_CH_N0.T3,G188_Por5_CH,5,N0,T3,POR,CH,0.3962,8.95,7.6,5.86,Dome,NA,NA,NA,NA,NA,NA
G189_Por5_CH_N4.T3,G189_Por5_CH,5,N4,T3,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G190_Por5_CH_N0.T2,G190_Por5_CH,5,N0,T2,POR,CH,0.14263,9.21,7.47,5.84,Dome,NA,NA,NA,NA,NA,NA
G191_Por5_CH_N3.T1,G191_Por5_CH,5,N3,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G192_Por5_CH_N2.T1,G192_Por5_CH,5,N2,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G193_Por5_CH_N1.T1,G193_Por5_CH,5,N1,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G194_Por5_CH_N1.T3,G194_Por5_CH,5,N1,T3,POR,CH,0.25556,10.11,9.11,5.84,Dome,NA,NA,NA,NA,NA,NA
G195_Por5_CH_N3.T2,G195_Por5_CH,5,N3,T2,POR,CH,0.3845,8.5,6.86,7.3,Dome,NA,NA,NA,NA,NA,NA
G196_Por5_CH_N3.T3,G196_Por5_CH,5,N3,T3,POR,CH,0.31522,13.59,9.37,9.52,Dome,NA,NA,NA,NA,NA,NA
G197_Por5_CH_N4.T1,G197_Por5_CH,5,N4,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G198_Por5_CH_T0,G198_Por5_CH,5,,T0,POR,T0,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G199_Por5_TP_N4.T3,G199_Por5_TP,5,N4,T3,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G200_Por5_CH_N0.T1,G200_Por5_CH,5,N0,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
R001_Poc6_CH_N4.T2,R001_Poc6_CH,6,N4,T2,POC,CH,0.1087,2.83,4.49,10.15,Cone,3.66,166.1462137,636.0868751,802.2330888,1.770306205,0.002206723
R002_Poc6_CH_T0,R002_Poc6_CH,6,,T0,POC,T0,0.42378,2.19,1.09,4.39,Cone,NA,NA,NA,NA,NA,NA
R003_Poc6_CH_N3.T2,R003_Poc6_CH,6,N3,T2,POC,CH,0.20214,2.73,3.15,11.34,Cone,2.94,135.3569203,1029.222105,1164.579025,2.011889407,0.001727568
R004_Poc6_CH_N1.T2,R004_Poc6_CH,6,N1,T2,POC,CH,0.325,4.59,4.33,14.12,Cone,4.46,269.9685044,1546.137712,1816.106217,2.476322291,0.001363534
R005_Poc6_TP_N3.T1,R005_Poc6_TP,6,N3,T1,POC,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
